Fiscal_Year,Location,S1: Label a: FY14 Revised Base ,S1: Label b: FSF & TL 09 C4E CTT ,S1: Label c: FSF Over Formula,S2: Label d: FSF Preliminary,S2: Label a: FY14 Revised Base,S2: Label f: Register Change,S2: Label g: Teacher Salary Growth,S2: Label h: New School Foundation,S3: Label i: FY14 FSF at 100%,S3: Foundation  ,S3: Label d - Foundation,S3: Label i - Foundation,S3: Label j: FSF Final%,S4: Label d: FY14 FSF Initial,S4: AC Name: FSF (HS),S4: AC Name: TL09 C4E CTT (HS),S4: AC Name: Funds Over Formula,S5: TL SE Transitional Funding,As_Of_Date
2015,K031,2389357.00,2389357.00,0.00,2366421.28,2389357.00,-22935.72,0.00,0.00,2868730.23,225000.00,2141421.28,2643730.23,0.81,2366421.00,2366421.00,0.00,0.00,67715.00,05/29/2014
2015,K032,2222378.00,2222378.00,0.00,2424269.32,2222378.00,201891.32,0.00,0.00,2437076.10,225000.00,2199269.32,2212076.10,0.9942,2424269.00,2424269.00,0.00,0.00,0.00,05/29/2014
2015,K034,2384466.00,2384466.00,0.00,2384012.67,2384466.00,-453.33,0.00,0.00,2853667.28,225000.00,2159012.67,2628667.28,0.8213,2384013.00,2384013.00,0.00,0.00,0.00,05/29/2014
2015,K035,1312309.00,1312309.00,0.00,1315129.83,1312309.00,2820.83,0.00,0.00,1565675.94,225000.00,1090129.83,1340675.94,0.8131,1315130.00,1315130.00,0.00,0.00,0.00,05/29/2014
2015,K038,2389842.00,2389842.00,0.00,2395826.22,2389842.00,5984.22,0.00,0.00,2653351.39,225000.00,2170826.22,2428351.39,0.894,2395826.00,2395826.00,0.00,0.00,0.00,05/29/2014
2015,K039,1709005.00,1709005.00,0.00,1759722.89,1709005.00,50717.89,0.00,0.00,2012223.21,225000.00,1534722.89,1787223.21,0.8587,1759723.00,1759723.00,0.00,0.00,0.00,05/29/2014
2015,K040,1520238.00,1520238.00,0.00,1608283.95,1520238.00,88045.95,0.00,0.00,1927774.32,225000.00,1383283.95,1702774.32,0.8124,1608284.00,1608284.00,0.00,0.00,11796.00,05/29/2014
2015,K041,3036791.00,3036791.00,0.00,2849651.18,3036791.00,-187139.82,0.00,0.00,3320179.06,225000.00,2624651.18,3095179.06,0.848,2849651.00,2706175.00,143476.00,0.00,90542.00,05/29/2014
2015,K044,1438352.00,1438352.00,0.00,1356612.52,1438352.00,-81739.48,0.00,0.00,1585899.03,225000.00,1131612.52,1360899.03,0.8315,1356612.00,1356612.00,0.00,0.00,0.00,05/29/2014
2015,K045,4145257.00,4145257.00,0.00,4174177.79,4145257.00,28920.79,0.00,0.00,4636011.99,225000.00,3949177.79,4411011.99,0.8953,4174178.00,4102440.00,71738.00,0.00,49038.00,05/29/2014
2015,K046,1997169.00,1997169.00,0.00,2016113.07,1997169.00,18944.07,0.00,0.00,2293844.45,225000.00,1791113.07,2068844.45,0.8658,2016113.00,2016113.00,0.00,0.00,16969.00,05/29/2014
2015,K048,2938882.00,2938882.00,0.00,2873451.82,2938882.00,-65430.18,0.00,0.00,3401708.31,225000.00,2648451.82,3176708.31,0.8337,2873452.00,2873452.00,0.00,0.00,0.00,05/29/2014
2015,K050,2106378.00,2106378.00,0.00,1903866.11,2106378.00,-202511.89,0.00,0.00,2297674.76,225000.00,1678866.11,2072674.76,0.81,1903866.00,1832128.00,71738.00,0.00,35403.00,05/29/2014
2015,K051,5537281.00,5537281.00,0.00,5683462.20,5537281.00,146181.20,0.00,0.00,6426059.13,225000.00,5458462.20,6201059.13,0.8802,5683462.00,5568681.00,114781.00,0.00,0.00,05/29/2014
2015,K052,3892706.00,3892706.00,0.00,3944845.09,3892706.00,52139.09,0.00,0.00,4442665.45,225000.00,3719845.09,4217665.45,0.882,3944845.00,3837238.00,107607.00,0.00,34790.00,05/29/2014
2015,K054,1465010.00,1465010.00,0.00,1372832.74,1465010.00,-92177.26,0.00,0.00,1461073.84,225000.00,1147832.74,1236073.84,0.9286,1372833.00,1372833.00,0.00,0.00,46562.00,05/29/2014
2015,K056,1283507.00,1283507.00,0.00,1303946.30,1283507.00,20439.30,0.00,0.00,1494773.67,225000.00,1078946.30,1269773.67,0.8497,1303947.00,1303947.00,0.00,0.00,71854.00,05/29/2014
2015,K057,1334200.00,1334200.00,0.00,1228076.92,1334200.00,-106123.08,0.00,0.00,1463366.61,225000.00,1003076.92,1238366.61,0.81,1228077.00,1220903.00,7174.00,0.00,35964.00,05/29/2014
2015,K058,4185442.00,4185442.00,0.00,4164461.54,4185442.00,-20980.46,0.00,0.00,4618047.40,225000.00,3939461.54,4393047.40,0.8967,4164461.00,4164461.00,0.00,0.00,4436.00,05/29/2014
2015,K059,1831928.00,1831928.00,0.00,1722287.27,1831928.00,-109640.73,0.00,0.00,1972572.13,225000.00,1497287.27,1747572.13,0.8568,1722287.00,1664896.00,57391.00,0.00,29755.00,05/29/2014
2015,K061,3926883.00,3926883.00,0.00,3534963.50,3926883.00,-391919.50,0.00,0.00,4311374.82,225000.00,3309963.50,4086374.82,0.81,3534964.00,3499095.00,35869.00,0.00,63874.00,05/29/2014
2015,K062,7367807.00,7367807.00,0.00,7118105.12,7367807.00,-249701.88,0.00,0.00,8646700.73,225000.00,6893105.12,8421700.73,0.8185,7118105.00,7110931.00,7174.00,0.00,98489.00,05/29/2014
2015,K065,3246294.00,3246294.00,0.00,3287525.17,3246294.00,41231.17,0.00,0.00,3759171.18,225000.00,3062525.17,3534171.18,0.8665,3287525.00,3201439.00,86086.00,0.00,38738.00,05/29/2014
2015,K066,3575160.00,3575160.00,0.00,3757807.81,3575160.00,182647.81,0.00,0.00,4012032.67,225000.00,3532807.81,3787032.67,0.9329,3757808.00,3757808.00,0.00,0.00,0.00,05/29/2014
2015,K067,1706469.00,1706469.00,0.00,1562693.94,1706469.00,-143775.06,0.00,0.00,1637311.35,225000.00,1337693.94,1412311.35,0.9472,1562694.00,1548346.00,14348.00,0.00,0.00,05/29/2014
2015,K068,4194892.00,4194892.00,0.00,3702880.61,4194892.00,-492011.39,0.00,0.00,4518679.73,225000.00,3477880.61,4293679.73,0.81,3702881.00,3702881.00,0.00,0.00,16125.00,05/29/2014
2015,K069,4416794.00,4416794.00,0.00,4309646.52,4416794.00,-107147.48,0.00,0.00,5126408.51,225000.00,4084646.52,4901408.51,0.8334,4309647.00,4302473.00,7174.00,0.00,8238.00,05/29/2014
2015,K071,4721097.00,4721097.00,0.00,4465933.24,4721097.00,-255163.76,0.00,0.00,5443475.28,225000.00,4240933.24,5218475.28,0.8127,4465933.00,4465933.00,0.00,0.00,84627.00,05/29/2014
2015,K073,1248991.00,1248991.00,0.00,729713.87,1248991.00,-519277.13,0.00,0.00,848103.96,225000.00,504713.87,623103.96,0.81,729714.00,729714.00,0.00,0.00,85249.00,05/29/2014
2015,K075,2845873.00,2845873.00,0.00,2552227.57,2845873.00,-293645.43,0.00,0.00,2997393.84,225000.00,2327227.57,2772393.84,0.8394,2552228.00,2552228.00,0.00,0.00,57560.00,05/29/2014
2015,K078,5272533.00,5272533.00,0.00,4892540.09,5272533.00,-379992.91,0.00,0.00,5594071.70,225000.00,4667540.09,5369071.70,0.8693,4892540.00,4835149.00,57391.00,0.00,25907.00,05/29/2014
2015,K081,2196483.00,2196483.00,0.00,2113168.12,2196483.00,-83314.88,0.00,0.00,2266660.90,225000.00,1888168.12,2041660.90,0.9248,2113168.00,1969692.00,143476.00,0.00,78086.00,05/29/2014
2015,K084,3123939.00,3089438.00,34501.00,3819541.02,3123939.00,695602.02,0.00,0.00,3785041.46,225000.00,3594541.02,3560041.46,1.0097,3819541.00,3785040.00,0.00,34501.00,0.00,05/29/2014
2015,K086,2398013.00,2398013.00,0.00,2373493.83,2398013.00,-24519.17,0.00,0.00,2877461.46,225000.00,2148493.83,2652461.46,0.81,2373494.00,2366320.00,7174.00,0.00,0.00,05/29/2014
2015,K088,7078820.00,7078820.00,0.00,7360412.64,7078820.00,281592.64,0.00,0.00,8563840.66,225000.00,7135412.64,8338840.66,0.8557,7360412.00,7130850.00,229562.00,0.00,49883.00,05/29/2014
2015,K089,2823355.00,2823355.00,0.00,2919695.23,2823355.00,96340.23,0.00,0.00,3229163.40,225000.00,2694695.23,3004163.40,0.897,2919695.00,2847957.00,71738.00,0.00,0.00,05/29/2014
2015,K090,3079943.00,3079943.00,0.00,3036592.82,3079943.00,-43350.18,0.00,0.00,3320711.94,225000.00,2811592.82,3095711.94,0.9082,3036593.00,2964855.00,71738.00,0.00,31542.00,05/29/2014
2015,K091,2629105.00,2629105.00,0.00,2362575.58,2629105.00,-266529.42,0.00,0.00,2689476.27,225000.00,2137575.58,2464476.27,0.8674,2362576.00,2290838.00,71738.00,0.00,101890.00,05/29/2014
2015,K092,2436333.00,2436333.00,0.00,2305191.34,2436333.00,-131141.66,0.00,0.00,2585866.34,225000.00,2080191.34,2360866.34,0.8811,2305191.00,2305191.00,0.00,0.00,26847.00,05/29/2014
2015,K093,1565365.00,1565365.00,0.00,1425969.23,1565365.00,-139395.77,0.00,0.00,1707677.73,225000.00,1200969.23,1482677.73,0.81,1425969.00,1425969.00,0.00,0.00,0.00,05/29/2014
2015,K094,7685848.00,7685848.00,0.00,7916282.32,7685848.00,230434.32,0.00,0.00,9570766.45,225000.00,7691282.32,9345766.45,0.823,7916282.00,7916282.00,0.00,0.00,14935.00,05/29/2014
2015,K095,5041371.00,5041371.00,0.00,4840245.62,5041371.00,-201125.38,0.00,0.00,5270559.91,225000.00,4615245.62,5045559.91,0.9147,4840245.00,4696769.00,143476.00,0.00,0.00,05/29/2014
2015,K096,3968908.00,3968908.00,0.00,3688727.49,3968908.00,-280180.51,0.00,0.00,4501206.53,225000.00,3463727.49,4276206.53,0.81,3688728.00,3688728.00,0.00,0.00,87726.00,05/29/2014
2015,K097,4565182.00,4565182.00,0.00,4530012.82,4565182.00,-35169.18,0.00,0.00,4787522.70,225000.00,4305012.82,4562522.70,0.9436,4530012.00,4530012.00,0.00,0.00,0.00,05/29/2014
2015,K098,6008166.00,6008166.00,0.00,6700911.42,6008166.00,692745.42,0.00,0.00,7579714.49,225000.00,6475911.42,7354714.49,0.8805,6700912.00,6370917.00,329995.00,0.00,0.00,05/29/2014
2015,K099,4045898.00,4045898.00,0.00,4003661.78,4045898.00,-42236.22,0.00,0.00,4723480.70,225000.00,3778661.78,4498480.70,0.84,4003662.00,4003662.00,0.00,0.00,0.00,05/29/2014
2015,K100,3235066.00,3235066.00,0.00,3285409.79,3235066.00,50343.79,0.00,0.00,3915871.98,225000.00,3060409.79,3690871.98,0.8292,3285410.00,3285410.00,0.00,0.00,12331.00,05/29/2014
2015,K101,4531459.00,4531459.00,0.00,4529507.57,4531459.00,-1951.43,0.00,0.00,5154967.80,225000.00,4304507.57,4929967.80,0.8731,4529507.00,4278424.00,251083.00,0.00,0.00,05/29/2014
2015,K102,6060669.00,6060669.00,0.00,6180505.21,6060669.00,119836.21,0.00,0.00,7416989.48,225000.00,5955505.21,7191989.48,0.8281,6180505.00,6180505.00,0.00,0.00,0.00,05/29/2014
2015,K104,5722186.00,5722186.00,0.00,5549954.04,5722186.00,-172231.96,0.00,0.00,6170565.41,225000.00,5324954.04,5945565.41,0.8956,5549954.00,5549954.00,0.00,0.00,0.00,05/29/2014
2015,K105,8485033.00,8485033.00,0.00,8205379.81,8485033.00,-279653.19,0.00,0.00,10068159.30,225000.00,7980379.81,9843159.30,0.8108,8205380.00,8133642.00,71738.00,0.00,18786.00,05/29/2014
2015,K106,2949048.00,2949048.00,0.00,2833705.22,2949048.00,-115342.78,0.00,0.00,3445623.23,225000.00,2608705.22,3220623.23,0.81,2833705.00,2833705.00,0.00,0.00,0.00,05/29/2014
2015,K107,2872766.00,2872766.00,0.00,2859889.72,2872766.00,-12876.28,0.00,0.00,2972050.94,225000.00,2634889.72,2747050.94,0.9592,2859890.00,2859890.00,0.00,0.00,0.00,05/29/2014
2015,K108,4517936.00,4517936.00,0.00,4457851.94,4517936.00,-60084.06,0.00,0.00,5223314.83,225000.00,4232851.94,4998314.83,0.8469,4457852.00,4457852.00,0.00,0.00,0.00,05/29/2014
2015,K109,2853289.00,2853289.00,0.00,2791864.82,2853289.00,-61424.18,0.00,0.00,3393969.12,225000.00,2566864.82,3168969.12,0.81,2791865.00,2791865.00,0.00,0.00,174455.00,05/29/2014
2015,K110,1811719.00,1811719.00,0.00,1727153.07,1811719.00,-84565.93,0.00,0.00,1846162.03,225000.00,1502153.07,1621162.03,0.9266,1727153.00,1727153.00,0.00,0.00,47088.00,05/29/2014
2015,K112,2803289.00,2803289.00,0.00,2936107.35,2803289.00,132818.35,0.00,0.00,3424875.65,225000.00,2711107.35,3199875.65,0.8473,2936108.00,2828501.00,107607.00,0.00,0.00,05/29/2014
2015,K113,3720476.00,3720476.00,0.00,3356746.91,3720476.00,-363729.09,0.00,0.00,4091353.92,225000.00,3131746.91,3866353.92,0.81,3356747.00,3356747.00,0.00,0.00,31657.00,05/29/2014
2015,K114,3138022.00,3138022.00,0.00,2898253.63,3138022.00,-239768.37,0.00,0.00,3281044.18,225000.00,2673253.63,3056044.18,0.8747,2898253.00,2826515.00,71738.00,0.00,12906.00,05/29/2014
2015,K115,4974830.00,4974830.00,0.00,5117568.62,4974830.00,142738.62,0.00,0.00,6170093.98,225000.00,4892568.62,5945093.98,0.823,5117569.00,5117569.00,0.00,0.00,0.00,05/29/2014
2015,K116,2789734.00,2789734.00,0.00,2741333.67,2789734.00,-48400.33,0.00,0.00,3324353.22,225000.00,2516333.67,3099353.22,0.8119,2741333.00,2669595.00,71738.00,0.00,7449.00,05/29/2014
2015,K118,446384.00,446384.00,0.00,686272.64,446384.00,239888.64,0.00,0.00,686272.46,225000.00,461272.64,461272.46,1,686272.00,686272.00,0.00,0.00,0.00,05/29/2014
2015,K119,2222051.00,2222051.00,0.00,2110784.47,2222051.00,-111266.53,0.00,0.00,2399702.04,225000.00,1885784.47,2174702.04,0.8671,2110784.00,2110784.00,0.00,0.00,0.00,05/29/2014
2015,M655,4158723.00,4158723.00,0.00,4196280.39,4158723.00,37557.39,0.00,0.00,4697394.75,225000.00,3971280.39,4472394.75,0.888,4196281.00,4196281.00,0.00,0.00,27036.00,05/29/2014
2015,M670,3035197.00,3035197.00,0.00,3136068.33,3035197.00,100871.33,0.00,0.00,3527908.50,225000.00,2911068.33,3302908.50,0.8814,3136068.00,3136068.00,0.00,0.00,0.00,05/29/2014
2015,M680,2158178.00,2158178.00,0.00,2150011.80,2158178.00,-8166.20,0.00,0.00,2523044.48,225000.00,1925011.80,2298044.48,0.8377,2150012.00,2150012.00,0.00,0.00,0.00,05/29/2014
2015,M685,1672862.00,1672862.00,0.00,973008.83,1672862.00,-699853.17,0.00,0.00,1148467.88,225000.00,748008.83,923467.88,0.81,973009.00,958661.00,14348.00,0.00,0.00,05/29/2014
2015,M692,3246578.00,2655978.00,590600.00,3286064.99,3246578.00,39486.99,0.00,0.00,2695466.30,225000.00,3061064.99,2470466.30,1.2391,3286065.00,2695465.00,0.00,590600.00,0.00,05/29/2014
2015,M696,3247592.00,3247592.00,0.00,2945293.84,3247592.00,-302298.16,0.00,0.00,3176855.30,225000.00,2720293.84,2951855.30,0.9216,2945294.00,2945294.00,0.00,0.00,0.00,05/29/2014
2015,M825,2044698.00,2044698.00,0.00,2095343.91,2044698.00,50645.91,0.00,0.00,2458929.36,225000.00,1870343.91,2233929.36,0.8372,2095344.00,1994911.00,100433.00,0.00,0.00,05/29/2014
2015,M839,2238532.00,2238532.00,0.00,2138445.37,2238532.00,-100086.63,0.00,0.00,2567617.12,225000.00,1913445.37,2342617.12,0.8168,2138446.00,2138446.00,0.00,0.00,0.00,05/29/2014
2015,M859,1039150.00,1039150.00,0.00,1296399.69,1039150.00,257249.69,0.00,0.00,1370221.75,225000.00,1071399.69,1145221.75,0.9355,1296400.00,1296400.00,0.00,0.00,0.00,05/29/2014
2015,M860,2564449.00,2564449.00,0.00,2590746.51,2564449.00,26297.51,0.00,0.00,3069499.09,225000.00,2365746.51,2844499.09,0.8317,2590746.00,2576398.00,14348.00,0.00,0.00,05/29/2014
2015,M862,1873891.00,1873891.00,0.00,1858361.09,1873891.00,-15529.91,0.00,0.00,2103204.31,225000.00,1633361.09,1878204.31,0.8696,1858361.00,1858361.00,0.00,0.00,0.00,05/29/2014
2015,M896,2053692.00,2053692.00,0.00,2047004.94,2053692.00,-6687.06,0.00,0.00,2425001.56,225000.00,1822004.94,2200001.56,0.8282,2047005.00,2047005.00,0.00,0.00,0.00,05/29/2014
2015,M964,1703134.00,1693597.00,9537.00,1721679.42,1703134.00,18545.42,0.00,0.00,1712143.57,225000.00,1496679.42,1487143.57,1.0064,1721680.00,1712143.00,0.00,9537.00,18403.00,05/29/2014
2015,Q002,3317192.00,3317192.00,0.00,3213733.06,3317192.00,-103458.94,0.00,0.00,3661013.83,225000.00,2988733.06,3436013.83,0.8698,3213733.00,3170690.00,43043.00,0.00,34691.00,05/29/2014
2015,Q005,8110609.00,8110609.00,0.00,8754576.06,8110609.00,643967.06,0.00,0.00,10679087.45,225000.00,8529576.06,10454087.45,0.8159,8754576.00,8754576.00,0.00,0.00,0.00,05/29/2014
2015,Q007,5792844.00,5792844.00,0.00,5682599.49,5792844.00,-110244.51,0.00,0.00,6962776.18,225000.00,5457599.49,6737776.18,0.81,5682600.00,5682600.00,0.00,0.00,0.00,05/29/2014
2015,Q008,3400458.00,3400458.00,0.00,2827267.65,3400458.00,-573190.35,0.00,0.00,3437675.97,225000.00,2602267.65,3212675.97,0.81,2827268.00,2827268.00,0.00,0.00,27869.00,05/29/2014
2015,Q010,4856949.00,4856949.00,0.00,4725999.48,4856949.00,-130949.52,0.00,0.00,5753731.92,225000.00,4500999.48,5528731.92,0.8141,4725999.00,4718825.00,7174.00,0.00,0.00,05/29/2014
2015,Q011,6684386.00,6684386.00,0.00,6584805.03,6684386.00,-99580.97,0.00,0.00,7675695.26,225000.00,6359805.03,7450695.26,0.8536,6584805.00,6584805.00,0.00,0.00,0.00,05/29/2014
2015,Q012,6301876.00,6301876.00,0.00,6340718.59,6301876.00,38842.59,0.00,0.00,7374860.04,225000.00,6115718.59,7149860.04,0.8554,6340719.00,6268981.00,71738.00,0.00,0.00,05/29/2014
2015,Q013,7816623.00,7816623.00,0.00,7970487.81,7816623.00,153864.81,0.00,0.00,9318431.66,225000.00,7745487.81,9093431.66,0.8518,7970488.00,7970488.00,0.00,0.00,0.00,05/29/2014
2015,Q014,8105866.00,8105866.00,0.00,8094366.47,8105866.00,-11499.53,0.00,0.00,9789573.24,225000.00,7869366.47,9564573.24,0.8228,8094366.00,8001106.00,93260.00,0.00,0.00,05/29/2014
2015,Q015,2327045.00,2327045.00,0.00,2384663.64,2327045.00,57618.64,0.00,0.00,2449160.24,225000.00,2159663.64,2224160.24,0.971,2384664.00,2384664.00,0.00,0.00,106561.00,05/29/2014
2015,Q016,8663397.00,8663397.00,0.00,8850650.34,8663397.00,187253.34,0.00,0.00,10680935.51,225000.00,8625650.34,10455935.51,0.825,8850650.00,8764564.00,86086.00,0.00,0.00,05/29/2014
2015,Q017,2649279.00,2649279.00,0.00,2599779.82,2649279.00,-49499.18,0.00,0.00,3156826.03,225000.00,2374779.82,2931826.03,0.81,2599780.00,2599780.00,0.00,0.00,12218.00,05/29/2014
2015,Q018,2676485.00,2676485.00,0.00,2784123.80,2676485.00,107638.80,0.00,0.00,3163238.58,225000.00,2559123.80,2938238.58,0.871,2784124.00,2784124.00,0.00,0.00,8437.00,05/29/2014
2015,Q019,10782989.00,10782989.00,0.00,10983207.75,10782989.00,200218.75,0.00,0.00,12783226.44,225000.00,10758207.75,12558226.44,0.8567,10983208.00,10918644.00,64564.00,0.00,0.00,05/29/2014
2015,Q020,6690473.00,6690473.00,0.00,6646888.49,6690473.00,-43584.51,0.00,0.00,7632811.36,225000.00,6421888.49,7407811.36,0.8669,6646889.00,6646889.00,0.00,0.00,39008.00,05/29/2014
2015,Q021,5912072.00,5912072.00,0.00,6000418.01,5912072.00,88346.01,0.00,0.00,6907159.47,225000.00,5775418.01,6682159.47,0.8643,6000418.00,6000418.00,0.00,0.00,4267.00,05/29/2014
2015,Q022,3969147.00,3969147.00,0.00,3938161.12,3969147.00,-30985.88,0.00,0.00,4379617.15,225000.00,3713161.12,4154617.15,0.8937,3938161.00,3866423.00,71738.00,0.00,0.00,05/29/2014
2015,Q024,4781139.00,4781139.00,0.00,4724075.91,4781139.00,-57063.09,0.00,0.00,5400493.16,225000.00,4499075.91,5175493.16,0.8693,4724076.00,4652338.00,71738.00,0.00,0.00,05/29/2014
2015,Q025,4046682.00,4046682.00,0.00,4037161.96,4046682.00,-9520.04,0.00,0.00,4567016.37,225000.00,3812161.96,4342016.37,0.878,4037162.00,4037162.00,0.00,0.00,30647.00,05/29/2014
2015,Q026,3159763.00,3159763.00,0.00,3256372.26,3159763.00,96609.26,0.00,0.00,3627491.94,225000.00,3031372.26,3402491.94,0.8909,3256372.00,3256372.00,0.00,0.00,0.00,05/29/2014
2015,Q028,3048769.00,3048769.00,0.00,3019956.20,3048769.00,-28812.80,0.00,0.00,3632890.62,225000.00,2794956.20,3407890.62,0.8201,3019956.00,3019956.00,0.00,0.00,0.00,05/29/2014
